,Team_Id,Team_Name,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
1263,1107,Albany NY,2014,77,1107,66,1127,60,H,0,22,46,7,16,15,27,18,20,12,19,7,1,23,15,44,8,24,22,26,11,13,7,14,8,2,23
1264,1107,Albany NY,2014,86,1107,77,1392,67,H,0,23,45,5,11,26,32,8,23,11,14,6,4,14,26,57,8,20,7,9,9,17,16,16,5,4,24
1265,1107,Albany NY,2014,93,1107,73,1262,56,H,0,27,53,8,17,11,17,11,30,17,12,6,3,16,18,50,6,24,14,18,4,18,11,9,10,0,17
1266,1107,Albany NY,2014,103,1107,74,1263,63,H,0,27,60,9,14,11,13,12,24,15,15,4,2,16,23,58,5,17,12,13,12,22,12,17,5,2,17
1267,1107,Albany NY,2014,107,1107,57,1127,48,A,0,21,51,5,16,10,18,13,26,13,14,12,4,12,18,55,8,25,4,5,12,21,9,18,7,6,16
1268,1107,Albany NY,2014,115,1107,66,1306,48,H,0,21,48,3,11,21,25,12,18,7,11,6,3,14,16,40,7,21,9,11,6,19,11,17,2,3,25
1269,1107,Albany NY,2014,124,1107,86,1420,56,H,0,32,57,11,20,11,16,10,26,17,9,8,2,15,20,54,9,24,7,12,10,18,16,12,4,0,13
1270,1107,Albany NY,2014,125,1107,67,1436,58,H,0,20,49,5,16,22,31,13,32,5,13,4,4,17,21,55,9,20,7,13,8,22,8,8,9,4,23
1271,1107,Albany NY,2014,131,1107,69,1392,60,A,0,23,52,5,11,18,19,7,25,9,10,9,2,14,22,56,2,14,14,18,12,23,9,13,5,4,20
1400,1108,Alcorn St,2014,68,1108,64,1238,51,H,0,21,43,4,10,18,23,4,22,6,9,3,2,12,17,54,2,8,15,20,18,16,6,13,2,1,22
1401,1108,Alcorn St,2014,70,1108,64,1212,56,H,0,20,34,5,12,19,28,6,21,10,10,3,2,15,21,48,6,18,8,15,5,13,7,7,3,0,22
1402,1108,Alcorn St,2014,75,1108,65,1290,53,H,0,22,48,5,14,16,22,2,24,10,6,2,4,20,18,50,2,10,15,25,10,26,5,13,1,0,18
1403,1108,Alcorn St,2014,77,1108,71,1115,45,A,0,25,49,8,18,13,17,5,22,20,6,6,3,16,17,44,2,11,9,16,9,22,9,15,3,2,14
1404,1108,Alcorn St,2014,84,1108,70,1105,64,H,1,24,51,3,8,19,26,11,25,12,10,4,4,21,21,64,2,20,20,29,15,18,9,10,4,1,16
1405,1108,Alcorn St,2014,103,1108,67,1290,63,A,0,24,47,3,10,16,25,4,22,6,16,14,1,13,24,53,6,22,9,13,8,27,13,24,9,0,20
1406,1108,Alcorn St,2014,105,1108,57,1115,54,H,0,19,40,5,11,14,26,3,30,10,15,0,5,18,18,56,7,20,11,19,4,19,9,6,8,1,17
1407,1108,Alcorn St,2014,112,1108,64,1105,56,A,0,23,50,3,8,15,22,13,30,8,15,5,7,14,21,57,6,25,8,12,8,18,13,10,4,1,19
1408,1108,Alcorn St,2014,124,1108,64,1341,62,H,0,23,51,5,17,13,20,11,18,12,13,3,0,14,22,50,9,17,9,15,8,15,11,9,6,2,15
1613,1110,American Univ,2014,10,1110,63,1420,61,H,1,20,55,4,20,19,41,16,30,14,18,10,4,23,24,58,1,9,12,22,11,32,12,19,9,4,29
1614,1110,American Univ,2014,26,1110,75,1384,43,A,0,28,52,8,17,11,13,12,30,17,11,5,2,21,15,48,3,19,10,17,7,13,7,9,6,4,15
1615,1110,American Univ,2014,30,1110,76,1224,53,H,0,31,55,8,23,6,10,9,21,22,16,10,5,20,13,42,3,9,24,34,13,18,7,21,7,0,15
1616,1110,American Univ,2014,55,1110,71,1271,58,A,0,24,43,8,17,15,19,4,27,13,16,4,1,21,16,51,2,15,24,32,12,18,9,9,10,0,21
1617,1110,American Univ,2014,59,1110,67,1137,57,A,0,21,39,3,9,22,33,4,30,14,13,4,6,17,18,54,7,18,14,22,9,20,9,6,8,1,24
1618,1110,American Univ,2014,62,1110,69,1221,54,A,0,27,52,4,14,11,11,6,28,21,12,6,6,18,17,56,5,21,15,21,15,19,9,14,9,4,15
1619,1110,American Univ,2014,65,1110,65,1259,51,H,0,25,45,4,8,11,18,7,28,21,17,5,4,13,17,53,1,11,16,19,10,17,6,13,11,5,19
1620,1110,American Univ,2014,68,1110,69,1159,62,A,0,25,40,5,11,14,18,8,18,12,15,5,2,16,21,41,9,16,11,16,4,10,12,10,2,2,17
1621,1110,American Univ,2014,72,1110,65,1250,63,A,0,26,57,8,20,5,10,11,25,21,9,5,5,13,22,55,9,24,10,11,8,24,13,9,4,4,17
1622,1110,American Univ,2014,75,1110,66,1248,61,H,0,23,51,6,26,14,19,12,20,18,14,6,2,12,24,47,5,9,8,14,6,18,15,15,7,0,20
1623,1110,American Univ,2014,79,1110,86,1131,56,H,0,30,42,11,14,15,20,4,27,22,18,4,2,18,16,50,4,16,20,27,9,12,7,10,11,0,21
1624,1110,American Univ,2014,82,1110,84,1119,74,A,0,28,51,10,20,18,21,8,23,16,12,5,5,22,24,59,5,21,21,28,16,18,6,7,6,3,22
1625,1110,American Univ,2014,86,1110,74,1298,52,H,0,21,39,8,19,24,31,7,28,16,12,5,6,20,17,46,5,12,13,22,7,15,12,12,7,1,29
1626,1110,American Univ,2014,89,1110,63,1221,57,H,0,24,50,2,7,13,16,9,15,14,7,6,2,10,24,40,3,10,6,9,3,18,9,13,4,4,16
1627,1110,American Univ,2014,100,1110,64,1250,44,H,0,22,45,5,13,15,18,5,22,15,17,14,4,14,15,43,3,8,11,15,8,19,7,21,9,2,19
1628,1110,American Univ,2014,110,1110,58,1119,54,H,0,21,42,5,12,11,15,4,28,15,16,11,2,25,17,47,5,16,15,26,9,19,9,14,6,2,19
1629,1110,American Univ,2014,114,1110,64,1298,55,A,0,21,43,10,24,12,15,6,25,15,18,5,5,13,21,55,4,18,9,10,10,18,8,13,11,2,15
1630,1110,American Univ,2014,121,1110,59,1159,50,H,0,21,44,3,11,14,20,5,29,17,14,8,3,12,19,48,3,15,9,18,6,21,11,13,3,4,20
1631,1110,American Univ,2014,124,1110,57,1221,46,H,0,20,45,7,15,10,14,6,22,15,7,7,2,6,19,50,6,18,2,5,11,22,11,12,2,3,12
1632,1110,American Univ,2014,128,1110,55,1131,36,A,0,19,34,4,9,13,16,2,29,11,17,3,3,10,16,52,1,17,3,7,9,16,8,10,8,0,16
1822,1111,Appalachian St,2014,75,1111,81,1204,68,H,0,27,56,10,20,17,28,12,31,21,13,4,1,27,18,48,11,25,21,35,8,26,8,16,7,1,26
1823,1111,Appalachian St,2014,80,1111,80,1154,67,A,0,34,61,7,14,5,8,8,23,15,7,5,4,17,22,46,6,16,17,23,4,20,14,11,4,4,14
1824,1111,Appalachian St,2014,94,1111,54,1154,45,H,0,18,47,6,19,12,15,9,27,13,10,4,3,12,18,50,5,15,4,5,6,22,10,8,5,2,14
1825,1111,Appalachian St,2014,101,1111,74,1359,68,H,0,24,48,5,12,21,37,11,28,13,13,6,5,14,27,57,4,15,10,15,6,22,10,11,5,4,25
1826,1111,Appalachian St,2014,115,1111,63,1359,57,A,0,21,55,2,8,19,33,13,27,8,15,9,4,15,23,53,5,15,6,12,7,29,17,25,8,4,25
2087,1112,Arizona,2014,4,1112,73,1142,62,H,0,24,42,5,11,20,36,10,24,12,11,4,7,15,20,54,11,26,11,13,10,16,13,11,4,0,26
2088,1112,Arizona,2014,7,1112,91,1253,57,H,0,34,58,7,17,16,24,11,34,22,11,6,5,18,17,63,5,23,18,26,15,14,12,9,5,1,20
2089,1112,Arizona,2014,10,1112,69,1361,60,A,0,25,56,3,13,16,22,13,26,13,11,5,6,24,18,50,4,11,20,29,9,19,6,9,6,3,17
2090,1112,Arizona,2014,14,1112,100,1192,50,H,0,37,68,10,19,16,26,20,35,19,5,6,8,13,18,58,6,20,8,11,7,17,6,11,4,6,19
2091,1112,Arizona,2014,15,1112,87,1348,59,H,0,33,57,7,16,14,20,8,30,19,14,5,8,21,20,54,2,12,17,25,6,20,6,12,5,1,19
2092,1112,Arizona,2014,23,1112,66,1180,62,N,0,20,53,3,13,23,30,13,33,8,14,2,5,12,26,71,5,20,5,7,11,26,8,5,6,8,22
2093,1112,Arizona,2014,25,1112,72,1181,66,N,0,23,47,5,14,21,26,8,28,18,16,6,8,18,25,58,4,14,12,18,10,18,11,11,5,2,20
2094,1112,Arizona,2014,29,1112,79,1403,58,H,0,25,50,10,22,19,33,17,26,16,15,4,2,17,21,53,1,11,15,19,9,14,9,13,6,3,23
2095,1112,Arizona,2014,33,1112,63,1424,58,H,0,28,67,3,16,4,8,18,23,16,14,7,1,12,23,50,4,14,8,10,5,24,7,16,4,2,13
2096,1112,Arizona,2014,37,1112,74,1308,48,H,0,29,56,4,10,12,19,16,22,16,13,5,7,16,15,46,2,11,16,22,10,12,8,16,6,2,16
2097,1112,Arizona,2014,40,1112,72,1276,70,A,0,27,61,4,10,14,15,17,20,14,9,5,2,18,24,48,8,17,14,17,6,18,9,11,3,6,17
2098,1112,Arizona,2014,45,1112,69,1380,43,H,0,22,48,3,11,22,37,9,30,13,8,6,3,14,17,50,5,21,4,15,7,26,9,14,2,3,25
2099,1112,Arizona,2014,49,1112,77,1319,44,H,0,26,54,7,13,18,24,12,19,16,5,9,3,10,16,44,6,14,6,10,10,20,4,18,2,4,17
2100,1112,Arizona,2014,59,1112,60,1450,25,H,0,20,45,4,14,16,24,13,29,13,11,6,6,15,9,45,2,12,5,13,11,17,6,14,3,1,16
2101,1112,Arizona,2014,61,1112,71,1449,62,H,0,24,57,2,9,21,26,14,24,15,11,10,4,14,25,60,2,12,10,12,13,21,13,15,5,1,19
2102,1112,Arizona,2014,66,1112,79,1417,75,A,0,28,52,6,18,17,26,11,26,18,17,4,2,21,26,65,4,13,19,26,16,20,16,9,12,3,24
2103,1112,Arizona,2014,69,1112,73,1425,53,A,0,27,58,8,20,11,16,12,18,17,8,10,4,14,22,52,2,10,7,8,10,20,13,18,7,2,17
2104,1112,Arizona,2014,73,1112,91,1113,68,H,0,34,61,8,15,15,28,10,29,21,11,5,6,22,18,53,7,14,25,33,9,21,7,18,5,4,21
2105,1112,Arizona,2014,80,1112,69,1160,57,H,0,29,59,3,15,8,14,11,21,16,7,8,5,16,20,52,4,11,13,14,10,22,6,16,2,2,15
2106,1112,Arizona,2014,83,1112,65,1428,56,H,0,24,60,3,14,14,23,20,20,10,11,3,3,15,19,47,4,13,14,16,9,20,9,14,5,4,20
2107,1112,Arizona,2014,86,1112,60,1390,57,A,0,18,50,6,14,18,29,6,30,12,8,4,4,18,21,56,3,12,12,18,8,30,5,7,1,2,23
2108,1112,Arizona,2014,94,1112,67,1332,65,H,0,22,55,4,16,19,35,15,20,15,7,3,3,14,23,54,6,17,13,20,13,27,14,12,4,0,22
2109,1112,Arizona,2014,97,1112,76,1333,54,H,0,29,58,3,12,15,23,15,24,15,8,7,1,15,18,46,4,12,14,17,4,20,9,12,3,5,17
2110,1112,Arizona,2014,107,1112,67,1428,63,A,1,24,56,5,12,14,19,11,20,12,13,7,6,19,23,53,4,13,13,22,13,24,13,16,7,4,16
2111,1112,Arizona,2014,110,1112,88,1160,61,A,0,35,58,8,17,10,19,7,31,24,6,8,3,21,17,52,2,10,25,33,10,20,6,9,3,1,13
2112,1112,Arizona,2014,114,1112,87,1143,59,H,0,32,63,6,16,17,22,15,27,18,9,5,4,15,24,55,4,16,7,15,7,18,10,14,3,5,17
2113,1112,Arizona,2014,118,1112,79,1390,66,H,0,26,59,6,14,21,29,13,27,15,8,4,6,17,22,53,4,10,18,21,5,26,8,10,3,2,21
2114,1112,Arizona,2014,121,1112,74,1333,69,A,0,24,57,7,19,19,30,12,22,15,8,8,2,18,24,54,5,13,16,29,16,27,8,17,7,5,21
2115,1112,Arizona,2014,129,1112,71,1428,39,N,0,27,51,7,18,10,14,9,30,13,8,5,3,16,12,47,2,10,13,16,7,17,7,11,5,2,15
2116,1112,Arizona,2014,130,1112,63,1160,43,N,0,23,49,6,17,11,16,13,28,16,12,7,5,16,15,51,4,8,9,14,10,15,5,9,3,1,15
2345,1113,Arizona St,2014,4,1113,96,1420,61,H,0,27,57,9,23,33,44,13,37,15,11,10,6,21,22,61,6,23,11,25,11,24,12,16,8,1,30
2346,1113,Arizona St,2014,8,1113,90,1275,54,H,0,35,63,16,31,4,13,11,37,26,13,5,7,14,19,58,4,20,12,14,4,23,9,10,8,4,16
2347,1113,Arizona St,2014,11,1113,88,1226,60,H,0,27,55,12,29,22,29,12,27,19,14,8,10,24,21,56,2,9,16,27,13,22,5,14,5,2,24
2348,1113,Arizona St,2014,15,1113,86,1424,80,A,0,35,79,5,20,11,20,14,34,18,7,3,9,23,31,75,3,15,15,29,17,38,17,8,4,10,18
2349,1113,Arizona St,2014,18,1113,70,1133,58,H,0,25,52,9,24,11,14,9,24,21,11,3,7,13,25,53,4,11,4,12,9,20,11,10,4,6,17
2350,1113,Arizona St,2014,21,1113,79,1266,77,H,0,29,54,10,22,11,16,6,26,16,8,2,9,14,28,69,8,23,13,19,17,22,18,4,3,1,14
2351,1113,Arizona St,2014,25,1113,80,1158,58,N,0,29,54,8,19,14,16,3,21,9,5,5,2,12,21,59,3,13,13,16,18,23,7,15,1,1,14
2352,1113,Arizona St,2014,32,1113,78,1177,56,A,0,27,53,7,16,17,24,5,36,14,13,4,12,21,19,65,2,17,16,25,15,27,5,10,8,7,22
2353,1113,Arizona St,2014,40,1113,97,1212,55,H,0,40,63,8,21,9,15,10,34,19,11,10,8,16,19,62,8,27,9,16,13,17,8,14,5,2,17
2354,1113,Arizona St,2014,47,1113,76,1403,62,H,0,26,57,10,19,14,18,7,25,20,7,4,7,14,24,66,1,13,13,16,18,27,8,12,3,4,19
