,Season,Team,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg
1335,2003.0,1335.0,0.0,22.0,5.0,0.46585190510424157,0.411864406779661,0.7021696252465484,33.51851851851852,14.851851851851851,13.0,7.185185185185185,2.1481481481481484,17.77777777777778
1139,2003.0,1139.0,0.0,24.0,5.0,0.47515316541865216,0.38801261829652994,0.7229166666666667,28.20689655172414,12.96551724137931,10.413793103448276,6.344827586206897,1.8620689655172413,16.06896551724138
1122,2003.0,1122.0,0.0,20.0,7.0,0.4523470839260313,0.34913793103448276,0.691358024691358,34.851851851851855,13.407407407407407,15.222222222222221,7.037037037037037,4.666666666666667,18.666666666666668
1264,2003.0,1264.0,0.0,23.0,6.0,0.4505692031156381,0.3485838779956427,0.7864357864357865,34.62068965517241,13.862068965517242,14.206896551724139,9.172413793103448,3.896551724137931,21.93103448275862
1190,2003.0,1190.0,0.0,17.0,10.0,0.4571773220747889,0.3439024390243902,0.7388059701492538,38.03703703703704,14.037037037037036,18.74074074074074,10.703703703703704,5.2592592592592595,19.51851851851852
1354,2003.0,1354.0,0.0,20.0,10.0,0.45616186388718577,0.33405172413793105,0.6989664082687338,37.233333333333334,10.266666666666667,19.466666666666665,8.0,2.9,20.733333333333334
1400,2003.0,1400.0,0.0,22.0,6.0,0.448512585812357,0.34893617021276596,0.7147147147147147,42.32142857142857,14.5,13.428571428571429,6.392857142857143,3.857142857142857,20.357142857142858
1196,2003.0,1196.0,0.0,24.0,7.0,0.4765981735159817,0.39212827988338195,0.7052810902896082,35.064516129032256,16.419354838709676,13.387096774193548,7.774193548387097,4.096774193548387,16.903225806451612
1462,2003.0,1462.0,0.0,25.0,5.0,0.4527027027027027,0.3621013133208255,0.746922024623803,39.43333333333333,16.4,13.033333333333333,5.466666666666667,3.033333333333333,15.766666666666667
1390,2003.0,1390.0,0.0,23.0,8.0,0.44191217342968314,0.3577371048252912,0.6754658385093167,38.87096774193548,14.64516129032258,14.32258064516129,5.516129032258065,3.3548387096774195,18.516129032258064
1163,2003.0,1163.0,0.0,21.0,9.0,0.47481243301178994,0.386411889596603,0.6742081447963801,42.666666666666664,15.633333333333333,15.8,5.933333333333334,7.733333333333333,18.4
1268,2003.0,1268.0,0.0,19.0,9.0,0.4644870349492672,0.39789473684210525,0.7036423841059603,40.5,18.892857142857142,14.107142857142858,10.892857142857142,6.607142857142857,19.0
1277,2003.0,1277.0,0.0,19.0,12.0,0.45075757575757575,0.36626506024096384,0.7346938775510204,34.935483870967744,13.612903225806452,14.548387096774194,6.387096774193548,3.7096774193548385,20.032258064516128
1261,2003.0,1261.0,0.0,21.0,10.0,0.4868189806678383,0.3834862385321101,0.6477272727272727,35.12903225806452,16.387096774193548,13.870967741935484,8.0,4.161290322580645,16.35483870967742
1345,2003.0,1345.0,0.0,18.0,10.0,0.4366382140512147,0.3294930875576037,0.7507002801120448,33.857142857142854,12.25,13.821428571428571,7.178571428571429,2.9285714285714284,19.821428571428573
1160,2003.0,1160.0,0.0,20.0,11.0,0.44345081536033665,0.32558139534883723,0.6752021563342318,42.45161290322581,13.387096774193548,14.0,6.129032258064516,6.645161290322581,17.70967741935484
1423,2003.0,1423.0,0.0,24.0,6.0,0.46158392434988177,0.3677536231884058,0.6886446886446886,33.1,14.666666666666666,11.466666666666667,9.2,1.9,18.433333333333334
1140,2003.0,1140.0,0.0,23.0,8.0,0.46884833228445566,0.384,0.753004005340454,35.29032258064516,13.419354838709678,13.741935483870968,6.935483870967742,2.5161290322580645,21.419354838709676
1360,2003.0,1360.0,0.0,17.0,11.0,0.47098065376917947,0.38415841584158417,0.6580732700135685,37.892857142857146,16.392857142857142,18.178571428571427,5.392857142857143,3.4285714285714284,20.142857142857142
1407,2003.0,1407.0,0.0,25.0,5.0,0.43214285714285716,0.3341176470588235,0.6877133105802048,39.766666666666666,15.066666666666666,13.733333333333333,9.533333333333333,5.2,16.6
1358,2003.0,1358.0,0.0,21.0,6.0,0.45523941707147814,0.35860655737704916,0.710236220472441,36.74074074074074,15.592592592592593,15.703703703703704,7.814814814814815,5.592592592592593,19.59259259259259
1411,2003.0,1411.0,0.0,18.0,12.0,0.44752714113389624,0.3207207207207207,0.6199524940617577,37.96666666666667,14.2,15.233333333333333,6.433333333333334,2.2333333333333334,18.3
1421,2003.0,1421.0,0.0,13.0,16.0,0.42926533090467517,0.36015325670498083,0.7627677100494233,35.44827586206897,13.03448275862069,16.20689655172414,7.068965517241379,3.0,19.103448275862068
1246,2003.0,1246.0,0.0,29.0,3.0,0.48742643124665597,0.3559322033898305,0.706766917293233,37.03125,16.1875,14.0625,7.8125,5.09375,17.375
1338,2003.0,1338.0,0.0,26.0,4.0,0.5021806853582554,0.35834896810506567,0.6359649122807017,36.666666666666664,17.766666666666666,15.1,8.066666666666666,4.1,17.966666666666665
1266,2003.0,1266.0,0.0,23.0,5.0,0.4838095238095238,0.3793911007025761,0.7700453857791225,37.17857142857143,16.321428571428573,13.571428571428571,6.0,3.642857142857143,18.642857142857142
1173,2003.0,1173.0,0.0,24.0,5.0,0.45165394402035625,0.3603305785123967,0.7155824508320726,36.6551724137931,15.206896551724139,13.310344827586206,5.379310344827586,2.9310344827586206,17.586206896551722
1458,2003.0,1458.0,0.0,22.0,7.0,0.46449136276391556,0.35912698412698413,0.7411347517730497,32.86206896551724,13.310344827586206,10.517241379310345,6.9655172413793105,2.8275862068965516,14.827586206896552
1281,2003.0,1281.0,0.0,21.0,10.0,0.4419618528610354,0.3569230769230769,0.6589698046181173,39.38709677419355,13.741935483870968,13.612903225806452,5.709677419354839,4.32258064516129,16.870967741935484
1231,2003.0,1231.0,0.0,20.0,12.0,0.42662116040955633,0.34826589595375723,0.712707182320442,36.84375,13.8125,11.5,4.4375,5.34375,18.0625
1332,2003.0,1332.0,0.0,23.0,9.0,0.46118951612903225,0.391304347826087,0.7760968229954615,35.875,17.46875,15.21875,8.03125,2.78125,20.9375
1428,2003.0,1428.0,0.0,23.0,7.0,0.45663600525624176,0.38188277087033745,0.7039007092198581,33.333333333333336,13.2,12.7,4.666666666666667,3.7666666666666666,20.1
1104,2003.0,1104.0,0.0,17.0,11.0,0.4203622735790131,0.32014388489208634,0.7098976109215017,37.5,12.107142857142858,13.285714285714286,6.607142857142857,3.7857142857142856,18.035714285714285
1356,2003.0,1356.0,0.0,24.0,6.0,0.472926267281106,0.38526315789473686,0.7061855670103093,33.3,13.566666666666666,12.5,7.966666666666667,3.2,19.333333333333332
1451,2003.0,1451.0,0.0,25.0,4.0,0.4657534246575342,0.3352272727272727,0.7342281879194631,33.10344827586207,14.275862068965518,12.448275862068966,6.758620689655173,0.6551724137931034,18.862068965517242
1409,2003.0,1409.0,0.0,22.0,9.0,0.4626696832579186,0.3626760563380282,0.7271214642262895,36.96774193548387,14.774193548387096,14.32258064516129,7.580645161290323,5.0,17.322580645161292
1221,2003.0,1221.0,0.0,25.0,4.0,0.4591236102027469,0.3598130841121495,0.705607476635514,36.37931034482759,15.413793103448276,13.931034482758621,7.9655172413793105,4.482758620689655,18.379310344827587
1447,2003.0,1447.0,0.0,21.0,10.0,0.4720357941834452,0.38380281690140844,0.7290969899665551,34.354838709677416,16.096774193548388,14.96774193548387,7.516129032258065,2.806451612903226,17.580645161290324
1237,2003.0,1237.0,0.0,19.0,13.0,0.45307068366164543,0.3495798319327731,0.7016574585635359,32.59375,13.375,15.90625,8.1875,1.8125,19.34375
1112,2003.0,1112.0,0.0,25.0,3.0,0.46141304347826084,0.3505338078291815,0.7014285714285714,42.82142857142857,17.642857142857142,14.785714285714286,8.464285714285714,4.214285714285714,17.75
1242,2003.0,1242.0,0.0,23.0,7.0,0.48528624933119313,0.33962264150943394,0.6657458563535912,41.2,16.733333333333334,14.9,10.133333333333333,4.9,16.7
1181,2003.0,1181.0,0.0,24.0,6.0,0.4535911602209945,0.3559870550161812,0.7090261282660333,36.86666666666667,13.833333333333334,14.033333333333333,8.5,5.133333333333334,21.266666666666666
1228,2003.0,1228.0,0.0,24.0,6.0,0.48566308243727596,0.3685950413223141,0.7225130890052356,35.13333333333333,18.266666666666666,13.166666666666666,7.0,3.1,19.133333333333333
1323,2003.0,1323.0,0.0,22.0,9.0,0.44869750132908026,0.38074074074074077,0.7598870056497176,38.25806451612903,16.903225806451612,12.774193548387096,7.451612903225806,5.645161290322581,16.225806451612904
1166,2003.0,1166.0,0.0,29.0,4.0,0.4994725738396624,0.3890532544378698,0.6928895612708018,34.06060606060606,16.818181818181817,13.363636363636363,8.393939393939394,4.454545454545454,17.272727272727273
1272,2003.0,1272.0,0.0,23.0,6.0,0.4379310344827586,0.3487972508591065,0.6536144578313253,40.03448275862069,16.620689655172413,13.793103448275861,7.379310344827586,5.068965517241379,18.75862068965517
1153,2003.0,1153.0,0.0,17.0,11.0,0.4039067422810334,0.3424908424908425,0.6898839137645107,35.535714285714285,12.285714285714286,10.607142857142858,5.178571428571429,4.25,18.964285714285715
1211,2003.0,1211.0,0.0,23.0,8.0,0.4700407213496219,0.3756345177664975,0.7212041884816754,37.25806451612903,15.741935483870968,14.548387096774194,6.806451612903226,3.5161290322580645,18.64516129032258
1113,2003.0,1113.0,0.0,18.0,11.0,0.4781818181818182,0.3178082191780822,0.6697368421052632,37.0,15.551724137931034,14.0,5.206896551724138,4.241379310344827,19.413793103448278
1141,2003.0,1141.0,0.0,23.0,6.0,0.5052356020942408,0.38076923076923075,0.7657534246575343,33.86206896551724,15.620689655172415,18.24137931034483,7.103448275862069,4.0,20.96551724137931
1454,2003.0,1454.0,0.0,23.0,7.0,0.47310584152689417,0.3562691131498471,0.6905132192846034,34.53333333333333,17.1,14.866666666666667,8.8,3.6,20.133333333333333
1443,2003.0,1443.0,0.0,23.0,8.0,0.4598961338718984,0.3665644171779141,0.6620795107033639,35.41935483870968,14.193548387096774,15.161290322580646,7.064516129032258,3.5483870967741935,18.451612903225808
1161,2003.0,1161.0,0.0,17.0,13.0,0.5067178502879078,0.3631123919308357,0.7005494505494505,34.266666666666666,15.5,16.133333333333333,5.333333333333333,4.233333333333333,20.566666666666666
1429,2003.0,1429.0,0.0,22.0,8.0,0.4563543003851091,0.3324175824175824,0.7182866556836903,35.0,13.9,12.233333333333333,5.066666666666666,2.0,16.1
1436,2003.0,1436.0,0.0,19.0,10.0,0.4444444444444444,0.34075723830734966,0.6578483245149912,38.689655172413794,14.206896551724139,14.068965517241379,6.862068965517241,2.9655172413793105,15.89655172413793
