,Id,Pred,Wteam,Lteam,Year,WAvgPointSpread,WWins,WLosses,WFieldGoalAvg,WThreePointAvg,WFreeThrowAvg,WReboundAvg,WAssistAvg,WTurnOverAvg,WStealAvg,WBlockAvg,WPersonalFoulAvg,LAvgPointSpread,LWins,LLosses,LFieldGoalAvg,LThreePointAvg,LFreeThrowAvg,LReboundAvg,LAssistAvg,LTurnOverAvg,LStealAvg,LBlockAvg,LPersonalFoulAvg,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg,WRank,WSchool,WTeam_Name,WConference,WWinsKP,WLossesKP,WSeed,WPyth,WAdjustO,WAdjustO Rank,WAdjustD,WAdjustD Rank,WAdjustT,WAdjustT Rank,WLuck,WLuck Rank,WSOS Pyth,WSOS Pyth Rank,WSOS OppO,WSOS OppO Rank,WSOS OppD,WSOS OppD Rank,WNCSOS Pyth,WNCSOS Pyth Rank,LRank,LSchool,LTeam_Name,LConference,LWinsKP,LLossesKP,LSeed,LPyth,LAdjustO,LAdjustO Rank,LAdjustD,LAdjustD Rank,LAdjustT,LAdjustT Rank,LLuck,LLuck Rank,LSOS Pyth,LSOS Pyth Rank,LSOS OppO,LSOS OppO Rank,LSOS OppD,LSOS OppD Rank,LNCSOS Pyth,LNCSOS Pyth Rank,Rank,WinsKP,LossesKP,Pyth,AdjustO,AdjustO Rank,AdjustD,AdjustD Rank,AdjustT,AdjustT Rank,Luck,Luck Rank,SOS Pyth,SOS Pyth Rank,SOS OppO,SOS OppO Rank,SOS OppD,SOS OppD Rank,NCSOS Pyth,NCSOS Pyth Rank
10,2016_1112_1139,0.5,1112,1139,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,2.7927663710000004,4,-2,0.016124566200000003,-0.0040809561,-0.0085666361,3.8230693999999996,0.16031281,2.59237537,-1.865102639,1.433040078,-1.6911046000000003,14,Arizona,arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,46,Butler,butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022000000000000002,228,0.5968,76,104.3,131,100.8,40,0.4172,283,-32,4,-3,0.08479999999999999,0.09999999999999432,-1,-6.0,-98,0.5999999999999943,-25,0.010000000000000002,-22,-0.005299999999999971,4,0.6000000000000085,-35,0.7999999999999972,30,-0.030700000000000005,18
11,2016_1114_1139,0.5,1114,1139,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,0.516129032,6,-6,-0.0086569911,0.0004535405,0.0030192822,-3.51612903,-1.4516129,0.0,-0.48387096700000004,-0.290322581,-1.64516129,45,Arkansas Little Rock,arkansas little rock,SB,22,3,,0.8197,107.0,109,93.8,17,64.3,341,0.039,87,0.4729,197,102.7,219,103.7,174,0.5314,154,46,Butler,butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022000000000000002,228,0.5968,76,104.3,131,100.8,40,0.4172,283,-1,5,-5,0.007199999999999984,-8.5,92,-7.900000000000006,-119,-4.400000000000006,153,0.061,-141,-0.12390000000000001,121,-1.5999999999999943,88,2.9000000000000057,134,0.11419999999999997,-129
12,2016_1122_1139,0.5,1122,1139,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,-11.7829912,-5,7,-0.0062204892,-0.0380037779,-0.061268555999999995,-0.54056696,-1.47605083,4.3196481,0.134897361,-0.597262952,-2.26686217,242,Austin Peay,austin peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,46,Butler,butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022000000000000002,228,0.5968,76,104.3,131,100.8,40,0.4172,283,196,-5,8,-0.4783,-13.700000000000003,188,6.3999999999999915,129,1.8999999999999915,-79,0.028000000000000004,-70,-0.14289999999999997,142,0.20000000000000284,-15,5.400000000000006,280,0.12659999999999993,-140
13,2016_1124_1139,0.5,1124,1139,2016,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,-2.731854839,0,1,-0.0023822987,-0.013058328000000001,-0.0041712673,0.36189516,2.73891129,2.58669355,0.944556452,0.61391129,-0.49697581,38,Baylor,baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,46,Butler,butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022000000000000002,228,0.5968,76,104.3,131,100.8,40,0.4172,283,-8,1,-1,0.017900000000000027,1.9000000000000057,-6,0.5,15,-1.2999999999999972,74,0.067,-149,0.07189999999999996,-48,0.9000000000000057,-47,-1.7999999999999972,-36,0.012299999999999978,-17
14,2016_1138_1139,0.5,1138,1139,2016,0.6666666667,19,14,0.43425076450000005,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,-8.752688172000001,-2,4,-0.0314144716,-0.0514708199,-0.0220422852,2.39882698,-1.80938416,3.59237537,-0.046920820999999995,0.130009775,1.36950146,148,Buffalo,buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.057999999999999996,54,0.5531,100,106.0,61,104.0,194,0.5635,108,46,Butler,butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022000000000000002,228,0.5968,76,104.3,131,100.8,40,0.4172,283,102,-3,3,-0.2703,-12.900000000000006,175,-0.6000000000000085,-17,4.3999999999999915,-156,0.08,-174,-0.04369999999999996,24,1.7000000000000028,-70,3.200000000000003,154,0.14629999999999999,-175
15,2016_1112_1143,0.5,1112,1143,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,4.121212119,2,-2,0.0208647624,0.0138913915,0.0664671021,0.27272727,1.54545455,0.60606061,0.787878788,-0.03030303,-2.45454546,14,Arizona,arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,32,California,california,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059000000000000004,304,0.6218,58,106.2,52,101.7,73,0.4541,237,-18,4,-3,0.05399999999999994,4.3999999999999915,-32,-0.3999999999999915,-5,0.29999999999999716,-15,0.047,-98,-0.030299999999999994,22,-1.2999999999999972,44,-0.10000000000000853,-3,-0.0676,64
16,2016_1114_1143,0.5,1114,1143,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,1.84457478,4,-6,-0.0039167949,0.0184258881,0.0780530204,-7.06647116,-0.06647116,-1.98631476,2.16911046,-1.753665689,-2.40860215,45,Arkansas Little Rock,arkansas little rock,SB,22,3,,0.8197,107.0,109,93.8,17,64.3,341,0.039,87,0.4729,197,102.7,219,103.7,174,0.5314,154,32,California,california,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059000000000000004,304,0.6218,58,106.2,52,101.7,73,0.4541,237,13,5,-5,-0.023600000000000065,-4.200000000000003,61,-2.299999999999997,-26,-4.700000000000003,163,0.098,-217,-0.14890000000000003,139,-3.5,167,2.0,101,0.07729999999999998,-83
17,2016_1122_1143,0.5,1122,1143,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,-10.45454546,-7,7,-0.001480293,-0.0200314303,0.0137651822,-4.09090909,-0.09090909,2.33333334,2.787878788,-2.06060606,-3.03030303,242,Austin Peay,austin peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,32,California,california,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059000000000000004,304,0.6218,58,106.2,52,101.7,73,0.4541,237,210,-5,8,-0.5091000000000001,-9.400000000000006,157,12.0,222,1.5999999999999943,-69,0.065,-146,-0.1679,160,-1.7000000000000028,64,4.5,247,0.08969999999999995,-94
18,2016_1124_1143,0.5,1124,1143,2016,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,-1.4034090909999999,-2,1,0.0023578975,0.004914019600000001,0.0708624709,-3.18844697,4.12405303,0.60037879,3.597537879,-0.849431818,-1.26041667,38,Baylor,baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,32,California,california,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059000000000000004,304,0.6218,58,106.2,52,101.7,73,0.4541,237,6,1,-1,-0.012900000000000023,6.200000000000003,-37,6.1000000000000085,108,-1.5999999999999943,84,0.10400000000000001,-225,0.04689999999999994,-30,-1.0,32,-2.700000000000003,-69,-0.02460000000000001,29
19,2016_1138_1143,0.5,1138,1143,2016,0.6666666667,19,14,0.43425076450000005,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,-7.424242424,-4,4,-0.0266742754,-0.0334984723,0.052991453,-1.15151515,-0.42424242,1.60606061,2.606060606,-1.333333333,0.6060606,148,Buffalo,buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.057999999999999996,54,0.5531,100,106.0,61,104.0,194,0.5635,108,32,California,california,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059000000000000004,304,0.6218,58,106.2,52,101.7,73,0.4541,237,116,-3,3,-0.30110000000000003,-8.600000000000009,144,5.0,76,4.099999999999994,-146,0.11699999999999999,-250,-0.06869999999999998,42,-0.20000000000000284,9,2.299999999999997,121,0.1094,-129
20,2016_1139_1143,0.5,1139,1143,2016,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,1.328445748,-2,0,0.0047401961999999995,0.0179723476,0.0750337382,-3.55034213,1.38514174,-1.98631476,2.652981427,-1.4633431080000001,-0.76344086,46,Butler,butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022000000000000002,228,0.5968,76,104.3,131,100.8,40,0.4172,283,32,California,california,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059000000000000004,304,0.6218,58,106.2,52,101.7,73,0.4541,237,14,0,0,-0.03080000000000005,4.299999999999997,-31,5.6000000000000085,93,-0.29999999999999716,10,0.037000000000000005,-76,-0.025000000000000022,18,-1.9000000000000057,79,-0.9000000000000057,-33,-0.03689999999999999,46
21,2016_1112_1151,0.5,1112,1151,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,4.52462121,-2,3,0.0311725183,0.0215350873,-0.0097429624,4.80492424,0.54640152,0.63068182,-2.434659091,0.037878788,0.77462121,14,Arizona,arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,80,Chattanooga,chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.10300000000000001,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,-66,-2,1,0.15949999999999998,9.0,-103,-1.7000000000000028,-17,2.0999999999999943,-106,-0.115,191,0.10830000000000001,-102,0.0,-5,-3.9000000000000057,-211,-0.16249999999999992,165
22,2016_1114_1151,0.5,1114,1151,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,2.2479838709999997,0,-1,0.006390961,0.026069583900000002,0.0018429559,-2.53427419,-1.06552419,-1.96169355,-1.0534274190000001,-1.685483871,0.82056452,45,Arkansas Little Rock,arkansas little rock,SB,22,3,,0.8197,107.0,109,93.8,17,64.3,341,0.039,87,0.4729,197,102.7,219,103.7,174,0.5314,154,80,Chattanooga,chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.10300000000000001,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,-35,-1,-1,0.08189999999999997,0.4000000000000057,-10,-3.6000000000000085,-38,-2.9000000000000057,72,-0.064,72,-0.010300000000000031,15,-2.200000000000003,118,-1.7999999999999972,-107,-0.01759999999999995,18
23,2016_1122_1151,0.5,1122,1151,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,-10.05113636,-11,12,0.008827462900000001,-0.012387734499999999,-0.062444882300000004,0.44128788,-1.08996212,2.35795455,-0.434659091,-1.9924242419999998,0.19886364,242,Austin Peay,austin peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,80,Chattanooga,chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.10300000000000001,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,162,-11,12,-0.4036,-4.799999999999997,86,10.699999999999989,210,3.3999999999999915,-160,-0.097,143,-0.029299999999999993,36,-0.4000000000000057,15,0.7000000000000028,39,-0.005199999999999982,7
