,Id,Pred,Wteam,Lteam,Year,WAvgPointSpread,WWins,WLosses,WFieldGoalAvg,WThreePointAvg,WFreeThrowAvg,WReboundAvg,WAssistAvg,WTurnOverAvg,WStealAvg,WBlockAvg,WPersonalFoulAvg,LAvgPointSpread,LWins,LLosses,LFieldGoalAvg,LThreePointAvg,LFreeThrowAvg,LReboundAvg,LAssistAvg,LTurnOverAvg,LStealAvg,LBlockAvg,LPersonalFoulAvg,AvgPointSpread,Wins_x,Losses_x,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg,WTeam_Name,WRank,WSchool,WConference,Wins_y,Losses_y,WSeed,WPyth,WAdjustO,WAdjustO Rank,WAdjustD,WAdjustD Rank,WAdjustT,WAdjustT Rank,WLuck,WLuck Rank,WSOS Pyth,WSOS Pyth Rank,WSOS OppO,WSOS OppO Rank,WSOS OppD,WSOS OppD Rank,WNCSOS Pyth,WNCSOS Pyth Rank,LTeam_Name,LRank,LSchool,LConference,LWinsKP,Losses,LSeed,LPyth,LAdjustO,LAdjustO Rank,LAdjustD,LAdjustD Rank,LAdjustT,LAdjustT Rank,LLuck,LLuck Rank,LSOS Pyth,LSOS Pyth Rank,LSOS OppO,LSOS OppO Rank,LSOS OppD,LSOS OppD Rank,LNCSOS Pyth,LNCSOS Pyth Rank,Rank
10,2016_1112_1143,0.5,1112,1143,2016,12.21212121,25,8,0.4817898023,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,4.121212118999998,2,-2,0.02086476239999996,0.013891391500000015,0.06646710209999984,0.2727272699999972,1.5454545500000003,0.6060606100000001,0.7878787879999996,-0.030303029999999787,-2.454545460000002,arizona,14,Arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,california,32,California,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059,304,0.6218,58,106.2,52,101.7,73,0.4541,237,-18
11,2016_1122_1143,0.5,1122,1143,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,-10.454545455,-7,7,-0.0014802930000000214,-0.020031430299999986,0.013765182199999892,-4.090909090000004,-0.09090908999999847,2.3333333400000007,2.787878788,-2.06060606,-3.0303030300000025,austin peay,242,Austin Peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,california,32,California,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059,304,0.6218,58,106.2,52,101.7,73,0.4541,237,210
12,2016_1124_1143,0.5,1124,1143,2016,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,-1.4034090910000003,-2,1,0.002357897500000039,0.0049140196000000405,0.07086247089999997,-3.188446970000001,4.124053030000002,0.6003787900000006,3.597537879,-0.8494318180000002,-1.2604166700000017,baylor,38,Baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,california,32,California,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059,304,0.6218,58,106.2,52,101.7,73,0.4541,237,6
13,2016_1138_1143,0.5,1138,1143,2016,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,-7.424242424299999,-4,4,-0.02667427539999989,-0.03349847229999997,0.052991452999999966,-1.1515151500000016,-0.4242424199999988,1.60606061,2.6060606060000007,-1.333333333,0.6060605999999993,buffalo,148,Buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.058,54,0.5531,100,106.0,61,104.0,194,0.5635,108,california,32,California,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059,304,0.6218,58,106.2,52,101.7,73,0.4541,237,116
14,2016_1139_1143,0.5,1139,1143,2016,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.774193548,3.35483871,19.90322581,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,1.328445748,-2,0,0.004740196199999991,0.017972347599999994,0.07503373819999992,-3.550342130000004,1.38514174,-1.986314759999999,2.6529814269999994,-1.463343108,-0.7634408600000029,butler,46,Butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022,228,0.5968,76,104.3,131,100.8,40,0.4172,283,california,32,California,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059,304,0.6218,58,106.2,52,101.7,73,0.4541,237,14
15,2016_1112_1151,0.5,1112,1151,2016,12.21212121,25,8,0.4817898023,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,4.5246212099999985,-2,3,0.03117251829999995,0.021535087299999974,-0.009742962400000166,4.804924239999998,0.5464015199999999,0.6306818199999995,-2.4346590910000003,0.03787878800000044,0.7746212099999994,arizona,14,Arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,chattanooga,80,Chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.103,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,-66
16,2016_1122_1151,0.5,1122,1151,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,-10.051136364,-11,12,0.008827462899999972,-0.012387734500000023,-0.06244488230000012,0.4412878799999973,-1.0899621199999991,2.3579545500000005,-0.4346590910000003,-1.992424242,0.19886363999999898,austin peay,242,Austin Peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,chattanooga,80,Chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.103,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,162
17,2016_1124_1151,0.5,1124,1151,2016,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,-1.0,-6,6,0.012665653400000032,0.012557715400000002,-0.005347593600000034,1.34375,3.125,0.625,0.375,-0.78125,1.96875,baylor,38,Baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,chattanooga,80,Chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.103,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,-42
18,2016_1138_1151,0.5,1138,1151,2016,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,-7.020833333300001,-8,9,-0.0163665194999999,-0.02585477650000001,-0.02321861150000004,3.3806818199999995,-1.4232954499999997,1.6306818199999995,-0.6164772729999992,-1.265151515,3.8352272700000007,buffalo,148,Buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.058,54,0.5531,100,106.0,61,104.0,194,0.5635,108,chattanooga,80,Chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.103,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,68
19,2016_1139_1151,0.5,1139,1151,2016,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.774193548,3.35483871,19.90322581,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,1.7318548390000004,-6,5,0.015047952099999984,0.025616043399999955,-0.0011763263000000856,0.9818548399999968,0.3860887099999992,-1.96169355,-0.5695564520000005,-1.39516129,2.4657258099999986,butler,46,Butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022,228,0.5968,76,104.3,131,100.8,40,0.4172,283,chattanooga,80,Chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.103,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,-34
20,2016_1143_1151,0.5,1143,1151,2016,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,0.4034090910000003,-4,5,0.010307755899999993,0.007643695799999961,-0.07621006450000001,4.532196970000001,-0.9990530300000008,0.024621209999999397,-3.222537879,0.06818181800000023,3.229166670000001,california,32,California,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059,304,0.6218,58,106.2,52,101.7,73,0.4541,237,chattanooga,80,Chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.103,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,-48
21,2016_1112_1153,0.5,1112,1153,2016,12.21212121,25,8,0.4817898023,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,10.3125,22,10,0.4275324675,0.34522111270000005,0.703875969,39.375,15.46875,11.0625,7.9375,5.8125,15.625,1.8996212099999996,3,-2,0.054257334799999946,0.037341164899999946,0.019001389499999854,0.8674242399999983,-0.95359848,1.7556818199999995,-3.0284090910000003,-1.0246212119999996,2.5871212099999994,arizona,14,Arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,cincinnati,27,Cincinnati,Amer,19,7,,0.8526,108.1,87,92.8,10,66.6,297,-0.049,289,0.5458,109,104.3,129,102.6,112,0.4608,228,-13
22,2016_1122_1153,0.5,1122,1153,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,10.3125,22,10,0.4275324675,0.34522111270000005,0.703875969,39.375,15.46875,11.0625,7.9375,5.8125,15.625,-12.676136364000001,-6,7,0.031912279399999965,0.003418343099999943,-0.033700530400000095,-3.4962121200000027,-2.589962119999999,3.4829545500000005,-1.0284090910000003,-3.054924242,2.011363639999999,austin peay,242,Austin Peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,cincinnati,27,Cincinnati,Amer,19,7,,0.8526,108.1,87,92.8,10,66.6,297,-0.049,289,0.5458,109,104.3,129,102.6,112,0.4608,228,215
23,2016_1124_1153,0.5,1124,1153,2016,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,10.3125,22,10,0.4275324675,0.34522111270000005,0.703875969,39.375,15.46875,11.0625,7.9375,5.8125,15.625,-3.625,-1,1,0.035750469900000026,0.028363792999999967,0.023396758299999987,-2.59375,1.625,1.75,-0.21875,-1.84375,3.78125,baylor,38,Baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,cincinnati,27,Cincinnati,Amer,19,7,,0.8526,108.1,87,92.8,10,66.6,297,-0.049,289,0.5458,109,104.3,129,102.6,112,0.4608,228,11
24,2016_1138_1153,0.5,1138,1153,2016,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,10.3125,22,10,0.4275324675,0.34522111270000005,0.703875969,39.375,15.46875,11.0625,7.9375,5.8125,15.625,-9.6458333333,-3,4,0.006718297000000095,-0.010048698900000042,0.005525740399999979,-0.5568181800000005,-2.9232954499999995,2.7556818199999995,-1.2102272729999992,-2.327651515,5.647727270000002,buffalo,148,Buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.058,54,0.5531,100,106.0,61,104.0,194,0.5635,108,cincinnati,27,Cincinnati,Amer,19,7,,0.8526,108.1,87,92.8,10,66.6,297,-0.049,289,0.5458,109,104.3,129,102.6,112,0.4608,228,121
25,2016_1139_1153,0.5,1139,1153,2016,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.774193548,3.35483871,19.90322581,10.3125,22,10,0.4275324675,0.34522111270000005,0.703875969,39.375,15.46875,11.0625,7.9375,5.8125,15.625,-0.8931451609999996,-1,0,0.038132768599999985,0.041422120999999916,0.02756802559999993,-2.955645160000003,-1.1139112900000008,-0.8366935499999997,-1.1633064520000005,-2.45766129,4.278225809999999,butler,46,Butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022,228,0.5968,76,104.3,131,100.8,40,0.4172,283,cincinnati,27,Cincinnati,Amer,19,7,,0.8526,108.1,87,92.8,10,66.6,297,-0.049,289,0.5458,109,104.3,129,102.6,112,0.4608,228,19
26,2016_1143_1153,0.5,1143,1153,2016,8.090909091,23,10,0.4609250399,0.3686708861,0.6564102564000001,39.96969697,12.96969697,12.21212121,4.121212121,4.818181818,20.66666667,10.3125,22,10,0.4275324675,0.34522111270000005,0.703875969,39.375,15.46875,11.0625,7.9375,5.8125,15.625,-2.221590909,1,0,0.03339257239999999,0.023449773399999933,-0.04746571259999999,0.5946969700000011,-2.4990530300000007,1.1496212099999994,-3.816287879,-0.9943181819999998,5.0416666700000015,california,32,California,P12,17,8,,0.8433,111.2,48,96.1,43,69.0,178,-0.059,304,0.6218,58,106.2,52,101.7,73,0.4541,237,cincinnati,27,Cincinnati,Amer,19,7,,0.8526,108.1,87,92.8,10,66.6,297,-0.049,289,0.5458,109,104.3,129,102.6,112,0.4608,228,5
27,2016_1151_1153,0.5,1151,1153,2016,7.6875,27,5,0.450617284,0.3610271903,0.7326203209000001,35.4375,13.96875,12.1875,7.34375,4.75,17.4375,10.3125,22,10,0.4275324675,0.34522111270000005,0.703875969,39.375,15.46875,11.0625,7.9375,5.8125,15.625,-2.625,5,-5,0.023084816499999997,0.015806077599999968,0.02874435190000002,-3.9375,-1.5,1.125,-0.59375,-1.0625,1.8125,chattanooga,80,Chattanooga,SC,23,4,,0.7378,106.6,119,97.4,55,67.2,269,0.103,15,0.4832,182,104.9,101,105.5,281,0.5489999999999999,136,cincinnati,27,Cincinnati,Amer,19,7,,0.8526,108.1,87,92.8,10,66.6,297,-0.049,289,0.5458,109,104.3,129,102.6,112,0.4608,228,53
28,2016_1112_1160,0.5,1112,1160,2016,12.21212121,25,8,0.4817898023,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,4.75,21,11,0.42124542119999997,0.3893376414,0.7369109948,42.3125,13.46875,13.46875,5.1875,5.03125,18.71875,7.4621212099999985,4,-3,0.060544381099999926,-0.006775363799999989,-0.014033636300000095,-2.0700757600000017,1.04640152,-0.6505681800000005,-0.27840909100000033,-0.2433712119999996,-0.5066287900000006,arizona,14,Arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,colorado,63,Colorado,P12,19,7,,0.765,106.5,121,96.1,45,69.9,132,0.05,71,0.6072,73,106.5,45,102.5,105,0.441,252,-49
29,2016_1122_1160,0.5,1122,1160,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,4.75,21,11,0.42124542119999997,0.3893376414,0.7369109948,42.3125,13.46875,13.46875,5.1875,5.03125,18.71875,-7.113636364,-5,6,0.03819932569999995,-0.040698185599999985,-0.06673555620000005,-6.433712120000003,-0.5899621199999991,1.0767045500000003,1.7215909089999997,-2.273674242,-1.082386360000001,austin peay,242,Austin Peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,colorado,63,Colorado,P12,19,7,,0.765,106.5,121,96.1,45,69.9,132,0.05,71,0.6072,73,106.5,45,102.5,105,0.441,252,179
30,2016_1124_1160,0.5,1124,1160,2016,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,4.75,21,11,0.42124542119999997,0.3893376414,0.7369109948,42.3125,13.46875,13.46875,5.1875,5.03125,18.71875,1.9375,0,0,0.04203751620000002,-0.01575273569999996,-0.009638267499999964,-5.53125,3.625,-0.65625,2.53125,-1.0625,0.6875,baylor,38,Baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,colorado,63,Colorado,P12,19,7,,0.765,106.5,121,96.1,45,69.9,132,0.05,71,0.6072,73,106.5,45,102.5,105,0.441,252,-25
