,Season,Team,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg
1437,2016.0,1437.0,13.264705882352942,29.0,5.0,0.4674586776859504,0.3435655253837072,0.7771084337349398,35.61764705882353,16.147058823529413,11.117647058823529,6.735294117647059,3.411764705882353,17.529411764705884
1274,2016.0,1274.0,8.8125,25.0,7.0,0.4766514806378132,0.3656093489148581,0.7507122507122507,34.75,12.8125,10.65625,6.0625,3.625,16.5625
1143,2016.0,1143.0,8.090909090909092,23.0,10.0,0.4609250398724083,0.3686708860759494,0.6564102564102564,39.96969696969697,12.969696969696969,12.212121212121213,4.121212121212121,4.818181818181818,20.666666666666668
1268,2016.0,1268.0,9.125,24.0,8.0,0.48540354894104176,0.37575757575757573,0.7604501607717041,35.375,14.0625,12.84375,5.75,5.375,16.625
1112,2016.0,1112.0,12.212121212121213,25.0,8.0,0.481789802289282,0.38256227758007116,0.722877358490566,40.24242424242424,14.515151515151516,12.818181818181818,4.909090909090909,4.787878787878788,18.21212121212121
1234,2016.0,1234.0,9.387096774193548,21.0,10.0,0.4504741833508957,0.3823088455772114,0.7192429022082019,38.38709677419355,16.0,10.419354838709678,6.806451612903226,4.838709677419355,16.258064516129032
1160,2016.0,1160.0,4.75,21.0,11.0,0.42124542124542125,0.3893376413570275,0.7369109947643979,42.3125,13.46875,13.46875,5.1875,5.03125,18.71875
1163,2016.0,1163.0,10.323529411764707,24.0,10.0,0.45941807044410415,0.3621212121212121,0.7865748709122203,36.529411764705884,13.852941176470589,11.117647058823529,5.705882352941177,5.029411764705882,18.0
1396,2016.0,1396.0,1.21875,21.0,11.0,0.4047010730710271,0.33964817320703655,0.6843100189035917,36.75,13.53125,9.15625,5.34375,3.125,16.125
1435,2016.0,1435.0,9.40625,19.0,13.0,0.4605695509309967,0.38848920863309355,0.6990291262135923,38.5625,14.9375,11.6875,4.3125,5.53125,19.125
1455,2016.0,1455.0,13.709677419354838,23.0,8.0,0.4328690807799443,0.32850940665701883,0.7157584683357879,37.483870967741936,14.32258064516129,9.838709677419354,7.258064516129032,3.5806451612903225,20.225806451612904
1355,2016.0,1355.0,7.032258064516129,24.0,7.0,0.4473981900452489,0.36153846153846153,0.7423398328690808,37.516129032258064,11.290322580645162,11.741935483870968,4.612903225806452,2.129032258064516,19.967741935483872
1218,2016.0,1218.0,10.8,25.0,5.0,0.4592680047225502,0.32786885245901637,0.6862244897959183,37.36666666666667,15.633333333333333,13.166666666666666,7.733333333333333,3.9,20.466666666666665
1138,2016.0,1138.0,0.6666666666666666,19.0,14.0,0.43425076452599387,0.3351724137931035,0.7094017094017094,38.81818181818182,12.545454545454545,13.818181818181818,6.7272727272727275,3.484848484848485,21.272727272727273
1421,2016.0,1421.0,5.451612903225806,20.0,11.0,0.45036455412226584,0.3221601489757914,0.701058201058201,37.0,12.0,13.161290322580646,9.225806451612904,3.225806451612903,17.677419354838708
1122,2016.0,1122.0,-2.3636363636363638,16.0,17.0,0.45944474686989656,0.3486394557823129,0.6701754385964912,35.878787878787875,12.878787878787879,14.545454545454545,6.909090909090909,2.757575757575758,17.636363636363637
1332,2016.0,1332.0,9.151515151515152,27.0,6.0,0.46371590324240863,0.3505311077389985,0.7148337595907929,35.75757575757576,13.636363636363637,11.363636363636363,7.606060606060606,5.818181818181818,18.03030303030303
1328,2016.0,1328.0,9.96875,25.0,7.0,0.45850622406639,0.4260204081632653,0.7279752704791345,38.8125,14.53125,12.96875,6.90625,5.25,16.8125
1401,2016.0,1401.0,10.382352941176471,26.0,8.0,0.4494047619047619,0.3503355704697987,0.6728476821192053,38.88235294117647,16.88235294117647,11.794117647058824,6.911764705882353,3.764705882352941,18.08823529411765
1181,2016.0,1181.0,9.393939393939394,23.0,10.0,0.45892494929006084,0.3868520859671302,0.7222222222222222,36.333333333333336,13.484848484848484,9.878787878787879,6.393939393939394,4.181818181818182,16.636363636363637
1124,2016.0,1124.0,6.6875,21.0,11.0,0.4632829373650108,0.37358490566037733,0.7272727272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625
1400,2016.0,1400.0,3.28125,20.0,12.0,0.43161925601750545,0.33890577507598785,0.6648275862068965,34.53125,11.46875,10.375,5.15625,4.375,20.75
1333,2016.0,1333.0,1.4333333333333333,18.0,12.0,0.4394904458598726,0.37272727272727274,0.6806853582554517,34.53333333333333,13.366666666666667,11.533333333333333,7.333333333333333,3.2666666666666666,20.233333333333334
1386,2016.0,1386.0,7.676470588235294,27.0,7.0,0.45436702649656524,0.3269230769230769,0.7126137841352406,38.588235294117645,15.117647058823529,10.117647058823529,5.147058823529412,3.3823529411764706,16.029411764705884
1153,2016.0,1153.0,10.3125,22.0,10.0,0.42753246753246754,0.34522111269614836,0.703875968992248,39.375,15.46875,11.0625,7.9375,5.8125,15.625
1433,2016.0,1433.0,9.911764705882353,24.0,10.0,0.4503780718336484,0.3559077809798271,0.6900584795321637,37.35294117647059,14.352941176470589,11.441176470588236,8.794117647058824,3.823529411764706,19.558823529411764
1320,2016.0,1320.0,4.636363636363637,21.0,12.0,0.4543311726576311,0.37186629526462395,0.7540394973070018,29.696969696969695,11.848484848484848,9.696969696969697,5.787878787878788,2.6363636363636362,15.333333333333334
1463,2016.0,1463.0,10.962962962962964,21.0,6.0,0.46728354263053534,0.37124463519313305,0.6666666666666666,40.2962962962963,15.074074074074074,13.481481481481481,5.592592592592593,4.518518518518518,17.962962962962962
1423,2016.0,1423.0,6.366666666666666,23.0,7.0,0.4550408719346049,0.34094616639477976,0.7036474164133738,37.233333333333334,13.233333333333333,11.433333333333334,6.9,4.166666666666667,23.866666666666667
1453,2016.0,1453.0,2.696969696969697,21.0,12.0,0.44428969359331477,0.3502994011976048,0.6571428571428571,38.60606060606061,13.878787878787879,12.090909090909092,9.272727272727273,4.606060606060606,19.818181818181817
1167,2016.0,1167.0,8.482758620689655,21.0,8.0,0.4464922711058264,0.3458149779735683,0.6512345679012346,38.0,14.96551724137931,12.413793103448276,7.724137931034483,5.068965517241379,21.482758620689655
1221,2016.0,1221.0,-4.333333333333333,14.0,19.0,0.4128851540616246,0.3273231622746186,0.6925465838509317,30.12121212121212,13.909090909090908,10.969696969696969,6.454545454545454,2.515151515151515,16.818181818181817
1380,2016.0,1380.0,1.8709677419354838,19.0,12.0,0.4359977641140302,0.3446969696969697,0.6734104046242775,35.41935483870968,10.32258064516129,11.32258064516129,7.354838709677419,3.3225806451612905,19.741935483870968
